T °C,Mass_liquid,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,FEOT,H2O,CO2,Mass_fluid,Mass_solid
1055,,59.39,4.51,15.06,2.08,2.28,0.24,1.19,2.82,3.68,3.9,0.38,4.16,4.7,0.01,,
1055,,62.16895216,4.721030043,15.76468125,2.177326494,2.386684811,0.25122998,1.245681985,2.951952266,3.852193028,4.082487177,0.397780802,4.345853247,4.7,,,
1050,94.50740106,65.53348086,1.464247178,16.53013244,1.27890053,1.830830685,0.264826324,1.202466245,3.111709312,4.060670308,4.303427772,0.419308347,2.981591289,4.107163342,0.00041895,0.828030729,1.9046
1045,94.39390459,65.61778851,1.449801434,16.54603374,1.225795454,1.788107092,0.265167019,1.196888157,3.11571247,4.065894287,4.308964054,0.41984778,2.891083503,4.115218123,0.000419433,0.825089012,2.021038193
1040,94.28348944,65.70009445,1.435143398,16.56156294,1.17498178,1.74598169,0.265499624,1.191378012,3.119620582,4.070994234,4.31436889,0.420374405,2.803235723,4.123187725,0.000419934,0.822118808,2.134423539
1035,94.15954083,65.79347065,1.396372215,16.57889044,1.128928686,1.710037547,0.264933867,1.185059586,3.12405434,4.076780131,4.320500682,0.420971861,2.725852793,4.133228178,0.000420818,0.817775086,2.262715878
1030,94.03607984,65.88693629,1.353839218,16.59607691,1.085531148,1.675497889,0.264196753,1.178649638,3.128492344,4.08257157,4.326638349,0.42156989,2.65226383,4.143535512,0.000421791,0.813185003,2.390766947
1025,93.91628135,65.97797175,1.312238781,16.61270734,1.04414922,1.641338422,0.263460578,1.172337731,3.132814957,4.088212427,4.33261643,0.42215237,2.580868713,4.153691193,0.000422784,0.80861063,2.515139806
1020,93.80007499,66.06660708,1.271581597,16.62879869,1.004644941,1.607615927,0.262726124,1.166141074,3.137023606,4.093704564,4.338436902,0.422719493,2.511600085,4.163696003,0.000423798,0.804052504,2.6359043
1015,93.68738059,66.15288051,1.231871674,16.6443676,0.966896404,1.574372669,0.261994093,1.160072812,3.141120105,4.09905035,4.344102273,0.423271504,2.444390519,4.173551117,0.000424835,0.799511264,2.753139934
