,sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Th,pressure,temperature,ferric,dfmq,fo2,fh2o,phiH2S,phiSO2,phiH2O,SO2/ST,S6+,Fe3+,per,ner,d34S,2sigma,S,Cl,H2O,errH2O,Annum,dfmq_corr,dfmq_AM,dfmq_ON,fo2_AM,fo2_ON
0,RIN1307A3_mi01_14_mi16,65.98665101,1.106917486,16.08425391,3.733096324,0.210417459,1.022837852,2.646870119,4.465943061,4.135154203,0.607858575,,120,950,45.52549565,2.863658108,-8.811275261,984.1513766,0.887932901,1.025222273,0.911251275,0.983193886,0.7,45.52549565,1.510999546,1.471022499,8.472328418,7.16083066,230.0145483,2904.64,,,78.84529298,2.254182002,,,,
3,RIN1307A3_mi01_37_mi44,69.78239853,0.5179205,15.70316082,2.427821022,0.127174126,0.634785031,2.006744323,4.501869274,4.155980612,0.14214576,,120,950,35.94256484,1.970128911,-9.704804458,984.1513766,0.887932901,1.025222273,0.911251275,0.72768783,0.885095049,35.94256484,0.568919452,0.563998157,3.645699065,1.498651995,145.5602652,1838.66,1.588982355,0.1324,46.86500911,0.891858764,,,,
4,RIN1307A3_mi01_16_mi19,66.20325269,0.995071923,16.10172594,3.78889581,0.159396825,1.030553337,2.426632826,4.548652751,4.190672593,0.555145312,,120,950,36.76907459,2.064374387,-9.610558982,984.1513766,0.887932901,1.025222273,0.911251275,0.787251224,0.633101606,36.76907459,0.921495064,0.908489428,2.923960096,3.744392654,385.9852028,3163.14,,,75.822444,1.406198619,,,,
5,RIN1307A3_mi01_16_mi20,66.14040438,0.925225932,16.1799877,3.900688865,0.172529245,0.977288779,2.426315309,4.709690319,4.041744096,0.526125377,,120,950,43.34744311,2.671351249,-9.00358212,984.1513766,0.887932901,1.025222273,0.911251275,0.967856053,0.584010055,43.34744311,0.909592525,0.895497914,6.239448484,1.592668417,461.0100755,3190.76,,,81.11339352,2.079349259,,,,
6,RIN1307A3_mi01_21_mi25,66.57907331,0.900440755,16.16644773,3.63000032,0.192786931,1.097937565,2.49233695,4.439919524,3.994521514,0.506535399,,120,950,46.62779348,2.991834366,-8.683099003,984.1513766,0.887932901,1.025222273,0.911251275,0.989140205,0.566267569,46.62779348,0,0,,,347.9372319,3422,3.929745275,0.306,75.88959836,2.368785799,,,,
7,RIN1307A3_mi01_26_mi32,67.58961193,0.548196671,16.21941373,3.337180837,0.186506997,0.942609691,2.488180344,4.581594042,3.821151396,0.285554359,,120,950,37.50184244,2.149192215,-9.525741154,984.1513766,0.887932901,1.025222273,0.911251275,0.832211981,0.535761611,37.50184244,0,0,5.743252943,1.447150985,332.351678,2230.33,,,62.22181834,1.404573488,,,,
10,RIN1307A3_mi01_10_mi11,67.62304021,0.571014878,16.44698361,3.208850082,0.142948778,0.890331004,2.308638876,4.529666933,4.117607908,0.160917727,,120,950,35.89522405,1.991168865,-9.683764503,984.1513766,0.887932901,1.025222273,0.911251275,0.741847363,0.530420303,35.89522405,0.463259491,0.459993565,5.450046487,4.24272302,187.9976165,2809.65,4.161109648,0.327,53.08,1.194857402,,,,
11,RIN1307A3_mi01_16_mi18,66.05928232,1.033155739,16.19501169,3.829278943,0.219613277,1.030420159,2.535882303,4.625157846,3.996217149,0.475980573,,120,950,52.05106158,3.451460362,-8.223473006,984.1513766,0.887932901,1.025222273,0.911251275,0.9977605,0.657480848,52.05106158,0.962780908,0.944259638,5.630481229,1.622813889,439,3319.28,5.747831817,0.514472727,81.11339352,2.871648589,,,,
12,RIN1307A3_mi01_19_mi23,66.39055628,0.896544338,16.17388164,3.980331924,0.136093187,1.017093125,2.597478624,4.397933586,4.036857671,0.373229616,,120,950,41.22048581,2.510953374,-9.163979994,984.1513766,0.887932901,1.025222273,0.911251275,0.945363357,0.428140591,41.22048581,0,0,8.675317503,2.643628065,366.9111674,3646.71,4.229872716,0.3375,75.80463385,1.919698964,,,,
13,RIN1307A3_mi01_21_mi24,67.80266855,0.427009701,15.92901542,3.357291484,0.220732501,0.888564911,2.093874301,4.90101284,4.220299316,0.159530973,,120,950,39.7767987,2.30391115,-9.371022219,984.1513766,0.887932901,1.025222273,0.911251275,0.894331159,0.777288462,39.7767987,1.370573476,1.340625287,4.029122892,2.719911798,171.8164682,2864.76,,,77.54798061,1.586308537,,,,
14,RIN1307A3_mi01_25_mi28,67.32030219,0.656277514,16.39113014,3.099443142,0.166496569,0.880691476,2.341796824,4.711565327,4.154885125,0.277411687,,120,950,25.58202005,0.872428574,-10.80250479,984.1513766,0.887932901,1.025222273,0.911251275,0.056871962,0.71297724,25.58202005,0.514369709,0.510891914,3.938905521,1.371458478,262.8773445,2530.12,3.308440175,0.2904,56.02382866,-0.194867758,,,,
15,RIN1307A3_mi01_25_mi29,68.57805169,0.413142377,16.193646,3.054958619,0.084722499,0.807564829,2.069876898,4.531686495,4.102220359,0.164130238,,120,950,34.9071126,1.903403858,-9.77152951,984.1513766,0.887932901,1.025222273,0.911251275,0.679715114,0.671644677,34.9071126,0.538230933,0.533892542,4.435101062,1.341429789,246.0755767,2457.7,,,55.99665341,1.049080235,,,,
16,RIN1307A3_mi01_25_mi30,68.85480488,0.412189089,16.23248752,3.07288931,0.110989132,0.725602759,2.050709118,4.266963889,4.098899209,0.174465096,,120,950,31.36224901,1.588455508,-10.08647786,984.1513766,0.887932901,1.025222273,0.911251275,0.416944277,0.777473963,31.36224901,0.587621397,0.582714364,3.03673181,1.443300721,232.2818109,2543.51,,,54.90755826,0.674834627,,,,
1,RIN1307A3_mi01_7_mi8,70.59110484,0.3150434,15.6331725,1.966775216,0.142787666,0.638464803,1.828212817,4.544980995,4.220511046,0.118946723,,120,950,37.494473,2.102435248,-9.572498121,984.1513766,0.887932901,1.025222273,0.911251275,0.808438075,1,37.494473,0.510632718,0.506568686,3.104394838,2.254069615,76.5714162,1588.54,,,46.29265467,0.774865161,,,,
2,RIN1307A3_mi01_12_mi14,70.01456659,0.439335963,16.03024881,1.879259043,0.138212753,0.543917876,1.932109923,4.7282055,4.191561763,0.102581781,,120,950,35.20667415,1.860413775,-9.814519594,984.1513766,0.887932901,1.025222273,0.911251275,0.646566431,1,35.20667415,0.513328341,0.509362859,6.78075271,1.518287137,125.2324786,1747.59,,,44.96448647,0.395050045,,,,
8,RIN1307A3_mi01_5_mi5,69.17838958,0.56122743,15.73935859,2.585370299,0.120500929,0.721263777,1.991784591,4.686658754,4.266325235,0.149120817,,120,950,38.59771797,2.193772648,-9.481160721,984.1513766,0.887932901,1.025222273,0.911251275,0.852627726,1,38.59771797,0.702936852,0.69512425,,,132.111844,2012.65,,,55.58208203,1.230717214,,,,
9,RIN1307A3_mi01_5_mi7,68.22254235,0.743656607,15.84886518,2.970859135,0.099238143,0.79389669,2.134012771,4.724305576,4.285997346,0.1766262,,120,950,37.1032754,2.051027593,-9.623905776,984.1513766,0.887932901,1.025222273,0.911251275,0.779428183,1,37.1032754,0.57045554,0.565418859,2.923960096,2.112115246,192.2118222,2662.02,,,48.9,1.202852629,,,,
